,AQI,PM10,PM2_5,NO2,SO2,O3,temperature,humidity,wind_speed,respiratory_cases,cardiovascular_cases,hospital_admissions,health_impact_score,health_impact_class
6,29,174,68,186,96,44,34,24,6,10,2,2,65,1
26,99,123,3,77,51,162,35,93,9,5,9,2,67,1
31,85,28,34,92,7,269,11,35,4,11,1,2,71,1
32,32,5,177,121,18,47,25,80,14,6,3,2,61,1
37,48,96,59,155,33,127,35,32,13,13,2,4,63,1
42,17,259,156,4,12,152,12,44,5,8,3,2,77,1
56,44,69,106,186,9,187,24,14,18,8,5,2,77,1
58,22,176,32,1,32,44,7,75,12,11,9,4,36,3
66,70,200,65,186,5,5,9,33,5,11,6,1,73,1
68,37,146,55,54,9,283,26,99,4,6,8,1,69,1
72,2,298,52,136,68,65,4,54,18,13,5,2,63,1
77,37,240,17,28,41,286,24,84,3,11,5,1,70,1
83,31,139,127,147,66,116,20,63,3,15,3,2,77,1
99,53,121,172,93,78,5,37,47,7,8,6,3,74,1
109,38,32,41,112,28,84,28,47,12,7,6,1,42,2
111,80,52,95,91,89,27,12,23,15,7,4,3,63,1
123,55,116,32,71,1,181,13,42,15,11,2,1,58,2
128,3,84,106,123,18,40,2,90,7,11,7,4,47,2
131,111,5,43,145,54,141,16,89,3,10,5,1,72,1
149,139,120,22,21,83,37,28,43,9,10,6,5,66,1
168,20,172,163,131,90,27,30,25,15,12,9,2,74,1
171,8,288,36,3,70,161,14,77,16,10,7,2,57,2
175,87,170,95,84,56,7,25,55,10,13,2,1,72,1
206,50,164,32,164,5,30,14,23,15,8,8,1,56,2
213,112,27,20,15,81,147,3,20,4,11,9,2,60,1
239,88,154,2,142,92,8,13,85,15,11,8,5,60,1
244,7,147,16,17,73,36,2,67,3,9,6,1,29,3
285,17,15,95,48,64,100,31,89,5,12,2,1,42,2
290,15,216,40,167,10,34,27,59,18,11,4,4,52,2
291,18,95,183,148,23,26,15,93,15,7,11,1,69,1
299,42,292,46,36,95,174,32,83,15,9,6,2,74,1
300,25,112,19,95,89,283,1,35,5,7,6,1,64,1
307,161,79,47,82,30,17,6,16,3,19,3,1,76,1
311,39,1,32,70,65,13,21,33,15,8,8,1,28,3
312,12,299,77,9,51,128,2,56,8,8,10,3,65,1
318,78,85,18,58,38,12,26,36,9,5,6,4,42,2
335,20,153,190,80,51,71,35,53,4,11,6,2,75,1
342,86,18,109,143,49,21,27,18,1,14,8,4,67,1
353,81,76,172,22,9,82,21,72,4,8,6,1,76,1
369,34,178,31,53,11,161,11,12,5,6,7,1,55,2
377,11,40,63,175,75,64,22,30,2,9,9,1,46,2
379,140,209,16,12,7,61,8,87,16,8,4,2,72,1
429,58,275,65,58,98,15,16,95,15,8,3,2,69,1
430,71,28,130,30,51,18,35,33,10,11,10,4,55,2
433,50,227,101,16,47,181,9,17,19,4,3,1,78,1
436,36,239,24,81,97,218,15,63,9,10,5,1,73,1
440,42,52,115,55,22,125,39,61,1,13,5,1,58,2
449,41,36,83,96,97,145,8,34,6,13,6,3,61,1
456,5,29,4,153,85,4,20,49,2,12,2,2,24,3
470,6,168,27,4,69,140,15,90,6,11,6,3,40,2
497,38,157,151,150,27,37,31,34,2,9,5,3,76,1
514,22,58,152,114,30,29,32,24,16,11,3,3,56,2
519,75,11,192,13,23,141,11,48,3,10,1,2,78,1
528,28,85,85,1,60,31,25,31,8,8,5,4,38,3
539,64,2,125,12,72,297,9,10,14,8,3,4,78,1
542,114,170,68,39,66,43,22,98,2,8,4,2,75,1
546,56,137,110,159,16,61,12,70,9,11,4,2,74,1
556,67,49,96,6,30,153,22,62,18,11,7,1,59,2
557,14,151,21,59,38,189,14,51,15,11,1,2,48,2
576,73,222,58,35,37,195,22,72,15,9,3,1,79,1
586,37,98,70,12,43,272,19,36,10,9,14,3,64,1
587,64,132,46,95,6,123,20,40,17,10,3,4,62,1
597,86,153,65,101,7,128,28,93,1,13,5,1,76,1
598,96,282,15,125,84,14,32,86,3,8,5,2,76,1
599,20,14,14,140,82,151,15,86,14,12,2,4,42,2
600,84,105,39,50,32,19,16,61,7,10,3,4,51,2
603,44,59,97,93,81,113,11,95,9,13,4,2,62,1
610,19,139,22,12,15,79,3,56,14,9,8,2,33,3
656,141,21,134,22,69,41,32,93,3,18,4,1,79,1
665,76,155,58,55,74,50,8,45,2,8,6,2,63,1
666,122,35,16,3,97,38,29,35,13,16,4,1,50,2
668,93,38,85,116,11,14,1,71,16,11,5,1,61,1
704,31,69,156,176,69,15,29,26,14,11,5,1,68,1
722,33,2,93,86,22,228,26,25,12,11,4,3,59,2
750,58,97,74,41,15,255,5,24,7,13,2,2,71,1
754,69,106,12,151,23,54,20,56,5,12,14,1,54,2
772,63,25,165,64,18,83,6,55,18,11,4,2,69,1
775,74,141,31,110,19,94,29,50,15,9,4,1,62,1
784,90,81,8,10,20,230,10,35,11,10,3,1,61,1
790,76,178,42,170,4,99,9,68,11,12,12,3,75,1
801,76,74,93,20,38,97,9,72,17,8,2,2,61,1
809,56,33,9,4,5,295,5,56,16,8,6,1,51,2
833,88,80,29,131,25,239,39,58,11,13,6,2,76,1
842,89,53,59,134,10,84,37,63,18,12,1,2,63,1
850,33,132,58,95,76,125,27,15,10,14,9,1,59,2
856,18,223,54,26,61,54,5,33,3,10,8,1,49,2
866,77,75,45,149,74,97,18,32,3,8,4,5,67,1
874,12,4,131,145,94,282,17,67,10,11,7,3,76,1
875,78,111,108,95,60,117,20,69,12,11,6,2,79,1
880,115,65,37,42,15,120,4,87,6,11,7,1,65,1
883,52,168,196,11,1,56,4,14,5,11,2,1,78,1
888,49,88,64,138,9,247,7,82,12,9,5,2,74,1
899,42,29,168,72,22,220,38,69,11,6,8,4,77,1
901,13,212,80,77,39,6,4,11,12,7,8,2,50,2
925,11,283,135,31,60,66,9,11,2,13,7,1,71,1
929,128,51,26,71,46,46,22,83,15,12,6,1,61,1
930,69,33,57,21,63,182,31,45,8,12,7,1,57,2
938,58,122,155,142,44,36,32,26,2,14,2,3,79,1
962,122,49,43,120,10,30,1,55,3,4,3,1,65,1
988,123,158,54,17,16,98,37,68,12,8,6,2,73,1
1010,110,156,12,48,82,12,21,45,2,13,6,1,60,1
1013,19,64,43,65,8,190,36,28,11,12,5,2,44,2
1016,90,64,82,89,56,42,15,88,10,12,5,1,64,1
1034,38,58,147,21,25,60,15,93,19,9,6,2,54,2
1038,32,21,53,168,60,200,33,49,7,9,7,2,60,1
1047,12,272,20,79,16,34,31,16,9,9,10,1,45,2
1049,10,21,18,176,50,226,11,48,2,14,4,5,51,2
1072,21,139,144,153,64,92,27,44,12,4,7,2,75,1
1094,115,15,14,38,63,36,8,39,14,5,4,1,48,2
1105,86,113,165,58,57,2,38,54,11,12,7,2,77,1
1119,64,96,116,101,21,124,14,67,12,11,7,2,74,1
1132,40,14,131,176,57,106,1,39,14,14,2,1,70,1
1135,38,40,174,130,69,108,37,40,5,7,4,1,75,1
1159,14,59,179,73,81,155,10,86,1,11,10,2,72,1
1161,64,18,50,147,94,29,19,26,12,13,5,3,52,2
1168,3,11,58,109,80,20,1,71,14,2,7,3,30,3
1169,143,58,34,20,53,145,24,61,2,8,5,3,73,1
1184,51,173,47,182,72,19,34,29,17,10,5,2,63,1
1201,12,83,122,58,80,172,4,16,6,7,9,6,63,1
1202,11,57,186,110,43,132,20,60,17,12,2,2,70,1
1215,110,12,80,28,67,72,25,64,5,16,7,3,62,1
1216,41,295,38,138,71,115,3,67,19,9,4,1,77,1
1233,15,279,41,122,81,147,26,92,18,12,2,1,69,1
1246,65,74,116,159,59,53,22,79,17,7,4,2,72,1
1253,62,39,87,144,96,115,37,78,7,13,4,4,68,1
1262,155,22,22,79,9,91,24,60,18,11,7,3,68,1
1264,5,54,67,66,86,278,35,62,17,10,1,2,56,2
1265,36,172,62,51,58,213,32,72,10,11,2,1,67,1
1283,4,107,119,107,3,137,3,19,5,12,7,5,60,1
